card_id,character_name,card_type,color,required_enargy,generated_enargy,affinity,ap,bp,effect,trigger,rarity,card_number,card_img,created_at,updated_at
11,五条 悟,キャラクター,青,2,1,,1,2500,このキャラがアクティブの場合、このキャラの発生エナジー+{青}。,,U,UA02BT/JJK-1-045,UA02BT_JJK-1-045.png,2025/6/10 12:41,2025/6/10 12:41
12,五条 悟,キャラクター,青,4,1,,1,3500,【アタック時】カードを1枚引く。,,R,UA02BT/JJK-1-046,UA02BT_JJK-1-046.png,2025/6/10 12:41,2025/6/10 12:41
13,宿儺,キャラクター,青,5,1,,1,4000,"【レイド】〈虎杖 悠仁〉アクティブにし、フロントLに移動できる
【登場時】相手のフロントLのキャラを1枚まで選び、レストにする。それは次の1回アクティブにならない。自分の山札の上から5枚見る。その中から〈宿儺の指〉か〈伏魔御廚子〉を1枚まで公開し手札に加える。残りを望む順で自分の山札の下に置く。",ゲット,R,UA02BT/JJK-1-047,UA02BT_JJK-1-047.png,2025/6/10 12:41,2025/6/10 12:41
14,宿儺,キャラクター,青,6,1,,2,4000,"【インパクト（1）】（アタックしてバトルに勝利した時、相手プレイヤーに1ダメージ）
【登場時】[フロントLにある場合]相手は自身のフロントLのキャラを『1枚』手札に戻す。自分の場外に〈宿儺の指〉が2～3枚ある場合、『2枚』に代わる。自分の場外に〈宿儺の指〉が4枚以上ある場合、『3枚』に代わる。",ゲット,SR,UA02BT/JJK-1-048,UA02BT_JJK-1-048.png,2025/6/10 12:41,2025/6/10 12:41
15,禪院 真希,キャラクター,青,3,2,,1,3000,自分の場外に［特徴：呪具］が1枚以上かイベントカードが4枚以上ある場合、このキャラはBP+1000。,,U,UA02BT/JJK-1-049,UA02BT_JJK-1-049.png,2025/6/10 12:41,2025/6/10 12:41
16,禪院 真希,キャラクター,青,2,1,,1,1500,"【相手のターン中】自分の場外に［特徴：呪具］が1枚以上かイベントカードが4枚以上ある場合、このキャラはBP+1500。
【登場時】自分の山札の上から2枚見る。その中からカードを1枚手札に加え、残りを場外に置く。",,SR,UA02BT/JJK-1-050,UA02BT_JJK-1-050.png,2025/6/10 12:41,2025/6/10 12:41
17,七海 建人,キャラクター,青,0,1,,1,1500,,ゲット,C,UA02BT/JJK-1-051,UA02BT_JJK-1-051.png,2025/6/10 12:41,2025/6/10 12:41
18,七海 建人,キャラクター,青,3,1,,1,3000,【アタック時】自分の山札の上から1枚を場外に置いてもよい。そうした場合、BP1500以上の相手の場のキャラを1枚まで選び、このターン中、BP-1000。,ドロー,U,UA02BT/JJK-1-052,UA02BT_JJK-1-052.png,2025/6/10 12:41,2025/6/10 12:41
19,七海 建人,キャラクター,青,4,1,,2,4000,"自分の山札が15枚以下の場合、このキャラは【インパクト（1）】（アタックしてバトルに勝利した時、相手プレイヤーに1ダメージ）を得る。
【登場時】自分の場外にあるカードを7枚リムーブエリアに置いてもよい。そうした場合、カードを3枚引く。",カラー,R,UA02BT/JJK-1-053,UA02BT_JJK-1-053.png,2025/6/10 12:41,2025/6/10 12:41
20,七海 建人,キャラクター,青,4,1,,1,4000,"【レイド】〈七海 建人〉アクティブにし、フロントLに移動できる
自分の山札が15枚以下の場合、このキャラはBP+1000と【インパクト（1）】と【ダメージ（2）】を得る。
【退場時】自分の山札の上から2枚を場外に置いてもよい。そうした場合、相手のフロントLのキャラを1枚まで選び、レストにする。",レイド,SR,UA02BT/JJK-1-054,UA02BT_JJK-1-054.png,2025/6/10 12:41,2025/6/10 12:41
21,パンダ,キャラクター,青,1,1,,1,2500,【インパクト無効】（このキャラとバトルをしたキャラはこのバトル中、【インパクト】を失う）,,U,UA02BT/JJK-1-055,UA02BT_JJK-1-055.png,2025/6/10 12:41,2025/6/10 12:41
22,伏黒 恵,キャラクター,青,1,1,,1,2000,【登場時】BP1500以上の相手の場のキャラを1枚まで選び、このターン中、BP-1000。,,C,UA02BT/JJK-1-056,UA02BT_JJK-1-056.png,2025/6/10 12:41,2025/6/10 12:41
23,伏黒 恵,キャラクター,青,4,1,,1,3500,【登場時】相手の場のフィールドを1枚まで選び、相手の山札の下に置く。,,U,UA02BT/JJK-1-057,UA02BT_JJK-1-057.png,2025/6/10 12:41,2025/6/10 12:41
24,夜蛾 正道,キャラクター,青,2,1,,1,2500,【起動メイン】[レストにする]自分の場の他のキャラを1枚選び、このターン中、BP+1000。,,U,UA02BT/JJK-1-058,UA02BT_JJK-1-058.png,2025/6/10 12:41,2025/6/10 12:41
25,吉野 順平,キャラクター,青,0,1,,1,1000,【退場時】カードを1枚引く。,,C,UA02BT/JJK-1-059,UA02BT_JJK-1-059.png,2025/6/10 12:41,2025/6/10 12:41
26,東堂 葵,キャラクター,青,5,1,京都校,1,4000,【アタック時】自分のフロントLの他のキャラと、自分のエナジーLの他のキャラを1枚ずつ選び、それらの位置を入れ替えてもよい。,アクティブ,R,UA02BT/JJK-1-060,UA02BT_JJK-1-060.png,2025/6/10 12:41,2025/6/10 12:41
27,虎杖 悠仁,キャラクター,青,5,1,,1,4000,"【自分のターン中】[フロントLにある場合]自分の場外に〈宿儺の指〉が1枚以上ある場合、自分の手札にある〈宿儺〉全ての必要エナジーを『{青×1}減らす』。自分の場外に〈宿儺の指〉が4枚以上ある場合、『{青×2}減らす』に代わる。
【登場時】カードを1枚引き、自分の手札を1枚場外に置く。",アクティブ,R,EX04BT/JJK-3-013,EX04BT_JJK-3-013.png,2025/6/10 12:41,2025/6/10 12:41
28,狗巻 棘,キャラクター,青,0,1,,1,2000,【インパクト無効】（このキャラとバトルをしたキャラはこのバトル中、【インパクト】を失う）,,C,EX04BT/JJK-3-014,EX04BT_JJK-3-014.png,2025/6/10 12:41,2025/6/10 12:41
29,宿儺,キャラクター,青,7,1,,1,5000,"【レイド】〈虎杖 悠仁〉アクティブにし、フロントLに移動できる
【インパクト（1）】（アタックしてバトルに勝利した時、相手プレイヤーに1ダメージ）
【登場時】以下から『1つ』選ぶ。自分の場外に〈宿儺の指〉が3枚ある場合、『2つ』に代わる。自分の場外に〈宿儺の指〉が4枚以上ある場合、『全て』に代わる。
・自分はカードを1枚引き、相手は自身の手札を1枚場外に置く。
・BP2500以上の相手のフロントLのキャラ全ては、このターン中、BP-2000。
・BP3500以下の相手のフロントLのキャラを1枚まで選び、退場させる。",レイド,SR,EX04BT/JJK-3-015,EX04BT_JJK-3-015.png,2025/6/10 12:41,2025/6/10 12:41
30,禪院 直毘人,キャラクター,青,4,1,,1,4000,【登場時】自分の山札の上から2枚見る。その中から望む枚数を望む順で自分の山札の上に置き、残りを望む順で下に置く。,,C,EX04BT/JJK-3-016,EX04BT_JJK-3-016.png,2025/6/10 12:41,2025/6/10 12:41
31,禪院 真希,キャラクター,青,3,1,,1,3000,【登場時】自分の場外から【スペシャルトリガー】と【ファイナルトリガー】をどちらも持たないイベントカードを1枚まで手札に加える。,,U,EX04BT/JJK-3-017,EX04BT_JJK-3-017.png,2025/6/10 12:41,2025/6/10 12:41
32,七海 建人,キャラクター,青,2,1,,1,3000,"【相手のターン中】自分の山札が15枚以下の場合、このキャラはBP+1000と【インパクト無効】（このキャラとバトルをしたキャラはこのバトル中、【インパクト】を失う）を得る。
【登場時】自分の山札の上から1枚まで場外に置く。",カラー,U,EX04BT/JJK-3-018,EX04BT_JJK-3-018.png,2025/6/10 12:41,2025/6/10 12:41
33,七海 建人,キャラクター,青,4,1,,1,4000,"【レイド】〈七海 建人〉アクティブにし、フロントLに移動できる
【登場時】相手のフロントLのキャラを1枚まで選び、次の自分のターン開始時まで、「このキャラはアタックできない。」を与える。
【アタック時】自分の山札の上から1枚まで場外に置く。その後、自分の山札が15枚以下の場合、カードを1枚まで引き、BP1500以上の相手のフロントLのキャラ全ては、このターン中、BP-1000。",レイド,SR,EX04BT/JJK-3-019,EX04BT_JJK-3-019.png,2025/6/10 12:41,2025/6/10 12:41
34,新田 明,キャラクター,青,1,1,,1,2500,,ドロー,C,EX04BT/JJK-3-020,EX04BT_JJK-3-020.png,2025/6/10 12:41,2025/6/10 12:41
35,灰原 雄,キャラクター,青,1,1,,1,2500,【退場時】自分の場に〈七海 建人〉がある場合、カードを1枚まで引く。,,C,EX04BT/JJK-3-021,EX04BT_JJK-3-021.png,2025/6/10 12:41,2025/6/10 12:41
36,灰原 雄,キャラクター,青,0,1,,1,500,【起動メイン】[レストにする] [このカードを退場させる]自分の場外から〈七海 建人〉を1枚まで手札に加える。,,U,EX04BT/JJK-3-022,EX04BT_JJK-3-022.png,2025/6/10 12:41,2025/6/10 12:41
37,伏黒 恵,キャラクター,青,3,1,,1,3500,【自分のターン中】このターン中に自分の効果で自分の手札か山札のカードが場外に置かれている場合、このキャラはBP+500。,ドロー,C,EX04BT/JJK-3-023,EX04BT_JJK-3-023.png,2025/6/10 12:41,2025/6/10 12:41
38,虎杖 悠仁,キャラクター,青,3,2,,1,3000,【相手のターン中】自分の場外に〈宿儺の指〉がある場合、このキャラはBP+1000。,アクティブ,U,UA02ST/JJK-1-101,UA02ST_JJK-1-101.png,2025/6/10 12:41,2025/6/10 12:41
39,釘崎 野薔薇,キャラクター,青,3,2,,1,3000,,アクティブ,C,UA02ST/JJK-1-102,UA02ST_JJK-1-102.png,2025/6/10 12:41,2025/6/10 12:41
40,五条 悟,キャラクター,青,5,1,,2,4000,"【インパクト（1）】（アタックしてバトルに勝利した時、相手プレイヤーに1ダメージ）
【登場時】[フロントLにある場合]相手は自身のフロントLにあるキャラを1枚手札に戻す。",ゲット,R,UA02ST/JJK-1-103,UA02ST_JJK-1-103.png,2025/6/10 12:41,2025/6/10 12:41
41,佐々木＆井口,キャラクター,青,0,1,,1,1000,【アタック時】カードを1枚引き、自分の手札を1枚場外に置く。,,C,UA02ST/JJK-1-104,UA02ST_JJK-1-104.png,2025/6/10 12:41,2025/6/10 12:41
42,宿儺,キャラクター,青,4,1,,1,4000,"【レイド】〈虎杖 悠仁〉アクティブにし、フロントLに移動できる
【自分のターン中】自分の場外に〈宿儺の指〉が1枚以上ある場合、このキャラはBP+1000。2枚以上ある場合、このキャラは【インパクト（1）】（アタックしてバトルに勝利した時、相手プレイヤーに1ダメージ）を得る。
【登場時】カードを2枚引き、自分の手札を1枚場外に置く。",レイド,SR,UA02ST/JJK-1-105,UA02ST_JJK-1-105.png,2025/6/10 12:41,2025/6/10 12:41
43,伏黒 恵,キャラクター,青,0,1,,1,2000,,,C,UA02ST/JJK-1-106,UA02ST_JJK-1-106.png,2025/6/10 12:41,2025/6/10 12:41
44,伏黒 恵,キャラクター,青,4,1,,2,4000,【登場時】BP3000以下の相手の場のキャラを1枚まで選び、手札に戻す。,,SR,UA02ST/JJK-1-107,UA02ST_JJK-1-107.png,2025/6/10 12:41,2025/6/10 12:41
45,虎杖 悠仁,キャラクター,青,3,1,,1,3500,自分の場外に〈宿儺の指〉がある場合、このキャラの発生エナジー+{青}。,カラー,SP,UA02NC/JJK-2-006,UA02NC_JJK-2-006.png,2025/6/10 12:41,2025/6/10 12:41
46,宿儺,キャラクター,青,4,1,,2,3500,"このキャラはアクティブで場に登場させる。
【2回ブロック】
【自分のターン中】このキャラはBP+500。
【アタック時】BP1500以上の相手の場のキャラを『1枚』まで選び、このターン中、BP-1000。自分の場外にある〈宿儺の指〉1枚につき、『+1枚』される。",アクティブ,SP,UA02NC/JJK-2-007,UA02NC_JJK-2-007.png,2025/6/10 12:41,2025/6/10 12:41
47,七海 建人,キャラクター,青,1,1,,1,2000,【退場時】自分の山札の上から1枚を場外に置いてもよい。そうした場合、自分の場のキャラを1枚まで選び、このターン中、BP+1000。,アクティブ,SP,UA02NC/JJK-2-008,UA02NC_JJK-2-008.png,2025/6/10 12:41,2025/6/10 12:41
48,逕庭拳,イベント,青,4,,,1,,BP5000以下の相手のフロントLのキャラを1枚選び、『手札に戻す』。自分の場に〈虎杖 悠仁〉がある場合、『退場させる』に代わる。,スペシャル,R,UA02BT/JJK-1-062,UA02BT_JJK-1-062.png,2025/6/10 12:41,2025/6/10 12:41
49,宿儺の指,イベント,青,1,,,1,,"このカードを使用する際に、自分のライフを1枚場外に置くか自分の場のアクティブの〈虎杖 悠仁〉を1枚レストにしないとこのカードは使用できない。
カードを1枚引く。自分のAPカードを1枚まで選び、アクティブにする。",ドロー,C,UA02BT/JJK-1-063,UA02BT_JJK-1-063.png,2025/6/10 12:41,2025/6/10 12:41
50,十劃呪法「瓦落瓦落」,イベント,青,4,,,1,,BP5000以下の相手のフロントLのキャラを1枚選び、相手の山札の上か下の『相手が選んだ方』に置く。自分の場に〈七海 建人〉がある場合、『自分が選んだ方』に代わる。,スペシャル,U,UA02BT/JJK-1-064,UA02BT_JJK-1-064.png,2025/6/10 12:41,2025/6/10 12:41
51,屠坐魔,イベント,青,2,,呪具,1,,自分のフロントLのキャラを1枚まで選び、このターン中、BP+2000。カードを1枚引く。,ドロー,C,UA02BT/JJK-1-065,UA02BT_JJK-1-065.png,2025/6/10 12:41,2025/6/10 12:41
52,游雲,イベント,青,2,,呪具,1,,BP2500以下の相手のフロントLのキャラを1枚選び、退場させる。,アクティブ,C,UA02BT/JJK-1-066,UA02BT_JJK-1-066.png,2025/6/10 12:41,2025/6/10 12:41
53,領域展開,イベント,青,3,,,1,,自分のAPカードを2枚まで選び、アクティブにする。,ファイナル,U,UA02BT/JJK-1-067,UA02BT_JJK-1-067.png,2025/6/10 12:41,2025/6/10 12:41
54,誇れ オマエは強い,イベント,青,8,,,1,,"自分のフロントLに〈宿儺〉がある場合、手札にあるこのカードの必要エナジーを{イ青×2}減らす。
元々のBPが4000以上の相手のフロントLのキャラを1枚選び、退場させる。カードを2枚引く。",,U,EX04BT/JJK-3-024,EX04BT_JJK-3-024.png,2025/6/10 12:41,2025/6/10 12:41
55,呪術高専１年,イベント,青,3,1,,2,,カードを3枚引き、自分の手札を2枚場外に置く。,ドロー,R,UA02ST/JJK-1-109,UA02ST_JJK-1-109.png,2025/6/10 12:41,2025/6/10 12:41
56,伏魔御廚子,フィールド,青,4,1,,1,,"このフィールドはアクティブで場に登場させる。
【起動メイン】[レストにする]自分の場の〈宿儺〉を1枚選び、このターン中、自分の場外にある〈宿儺の指〉の枚数により以下の効果を全て得る。
・2枚以上：【ダメージ（2）】
・3枚以上：【狙い撃ち】
・4枚以上：【インパクト（+1）】
（【狙い撃ち】：相手のフロントLのキャラを指定してアタックでき、指定した場合、相手はブロックできない）",ゲット,U,UA02BT/JJK-1-061,UA02BT_JJK-1-061.png,2025/6/10 12:41,2025/6/10 12:41
57,東京都立呪術高等専門学校,フィールド,青,3,1,,1,,"このフィールドはアクティブで場に登場させる。
【起動メイン】[レストにする] 『ターン1』このターン中に自分がイベントカードを使用している場合のみ発動できる。自分の場のキャラ全ては、このターン中、BP+1000。",ゲット,U,UA02ST/JJK-1-108,UA02ST_JJK-1-108.png,2025/6/10 12:41,2025/6/10 12:41
